,townstate,poverty,med_income,hs_completion,n_households,population,density,crime_rate,property_crime,violent_crime,students_per_teacher,gini,lat,lng,unemployment_rate,home_price,crime_rate_pc,vcrime_rate_pc,pcrime_rate_pc,people_per_household,state
62,"Algonac, Michigan",13.1,55059.0,90.8,5332,11885,243.4,76.0,72.0,4.0,20.0,0.4372,42.63776,-82.57958,6.1,169653.0,0.006394615061001262,0.00033655868742111904,0.006058056373580143,2.228994748687172,Michigan
63,"Aliceville, Alabama",34.6,30917.0,66.9,1925,6237,8.1,29.0,24.0,5.0,18.0,0.4613498953178414,33.07371,-88.19359,4.587610195477113,63137.0,0.004649671316337983,0.000801667468334135,0.003848003848003848,3.24,Alabama
64,"Aliquippa, Pennsylvania",33.2,54570.0,89.5,13313,30945,205.5,254.0,182.0,72.0,12.571428571428573,0.433,40.5921,-80.31976,5.2,126673.0,0.008208111164970108,0.00232670867668444,0.005881402488285668,2.324419740103658,Pennsylvania
65,"Aliso Viejo, California",4.6,105964.0,96.1,19297,52124,2301.1,440.0,411.0,29.0,28.5,0.4731,33.576229999999995,-117.73038999999999,3.8,633415.0,0.008441408947893485,0.0005563655897475251,0.00788504335814596,2.701145255739234,California
66,"Allegan, Michigan",13.2,54619.0,89.7,6755,17603,42.2,78.0,62.0,16.0,16.77777777777778,0.404,42.53463,-85.87431,2.9,144569.0,0.004431062887007896,0.0009089359768221326,0.003522126910185764,2.605921539600296,Michigan
67,"Allen Park, Michigan",6.6,69134.0,92.8,10928,27353,1549.7,553.0,500.0,53.0,21.428571428571427,0.497,42.25987,-83.21061,7.4,132456.0,0.020217160823310057,0.0019376302416553943,0.018279530581654664,2.503019765739385,Michigan
68,"Allen, Oklahoma",29.2,43333.0,82.7,800,2099,6.0,9.0,9.0,0.0,17.0,0.4613498953178414,34.80777,-96.40796999999999,4.587610195477113,76758.0,0.004287756074321105,0.0,0.004287756074321105,2.62375,Oklahoma
69,"Alliance, Nebraska",12.2,55750.0,90.0,4107,9836,3.8,123.0,101.0,22.0,14.8,0.4613498953178414,42.12052,-102.88315,4.587610195477113,90510.0,0.012505083367222449,0.0022366815778771857,0.010268401789345263,2.394935476016557,Nebraska
70,"Alliance, Ohio",23.9,41341.0,85.7,13997,34740,166.7,869.0,770.0,99.0,14.8,0.4373,40.91935,-81.13020999999998,4.6,93635.0,0.02501439263097294,0.002849740932642487,0.022164651698330456,2.481960420090019,Ohio
71,"Alma, Arkansas",20.9,49857.0,85.5,5436,14292,62.0,363.0,316.0,47.0,15.75,0.4613498953178414,35.47552,-94.19436999999999,4.587610195477113,136397.0,0.025398824517212426,0.0032885530366638677,0.02211027148054856,2.629139072847682,Arkansas
72,"Alma, Georgia",29.3,39436.0,81.5,3574,9914,16.8,319.0,291.0,28.0,16.25,0.4613498953178414,31.545809999999996,-82.44053000000002,4.587610195477113,85895.0,0.032176719790195686,0.002824288884405891,0.029352430905789793,2.7739227756015667,Georgia
73,"Alma, Michigan",30.6,36546.0,93.8,4946,12717,69.8,165.0,147.0,18.0,18.2,0.4613498953178414,43.37769,-84.67974,4.587610195477113,84454.0,0.012974758197688134,0.0014154281670205238,0.01155933003066761,2.571168621107966,Michigan
74,"Alma, Missouri",5.1,57188.0,93.2,271,619,6.4,1.0,1.0,0.0,9.0,0.4613498953178414,39.1053,-93.54213,4.587610195477113,113517.0,0.0016155088852988692,0.0,0.0016155088852988692,2.284132841328413,Missouri
75,"Alma, Wisconsin",10.4,55673.0,95.2,713,1601,4.9,0.0,0.0,0.0,10.5,0.4613498953178414,44.3717,-91.83447,4.587610195477113,132730.0,0.0,0.0,0.0,2.2454417952314167,Wisconsin
76,"Alpena, Michigan",21.0,39943.0,91.9,9973,21897,40.6,241.0,212.0,29.0,18.125,0.4613498953178414,45.091609999999996,-83.49646,4.587610195477113,93747.0,0.011006073891400648,0.001324382335479746,0.009681691555920902,2.1956281961295496,Michigan
77,"Alpine, Texas",13.4,38563.0,84.9,3225,7887,0.75,49.0,46.0,3.0,13.0,0.4613498953178414,30.11479,-103.275095,4.587610195477113,263276.0,0.006212755166730062,0.0003803727653100038,0.005832382401420058,2.445581395348837,Texas
78,"Alta Vista, Kansas",16.8,42143.0,89.7,338,836,2.1,0.0,0.0,0.0,9.0,0.4613498953178414,38.85763,-96.44153,4.587610195477113,81732.0,0.0,0.0,0.0,2.473372781065089,Kansas
79,"Altamont, Illinois",14.3,53144.0,83.9,1655,4136,19.9,34.0,33.0,1.0,13.5,0.4613498953178414,39.07063,-88.72964,4.587610195477113,98775.0,0.008220502901353965,0.00024177949709864604,0.007978723404255319,2.4990936555891237,Illinois
80,"Altamont, Kansas",7.3,62115.0,91.8,562,1485,10.0,13.0,12.0,1.0,15.5,0.4613498953178414,37.161429999999996,-95.31529,4.587610195477113,70980.0,0.008754208754208754,0.0006734006734006734,0.00808080808080808,2.6423487544483986,Kansas
81,"Altavista, Virginia",23.1,37331.0,78.8,2215,5007,61.0,106.0,102.0,4.0,13.0,0.4613498953178414,37.149359999999994,-79.22975,4.587610195477113,116585.0,0.021170361493908527,0.000798881565807869,0.02037147992810066,2.2604966139954854,Virginia
82,"Altha, Florida",32.4,38078.0,87.9,1923,5256,12.7,6.0,6.0,0.0,17.0,0.4613498953178414,30.52989,-85.18205999999998,4.587610195477113,111857.0,0.001141552511415525,0.0,0.001141552511415525,2.733229329173167,Florida
83,"Alto, Texas",42.8,36915.0,73.1,1514,4083,6.8,66.0,63.0,3.0,11.0,0.4613498953178414,31.61115,-95.06597,4.587610195477113,96658.0,0.016164584864070537,0.0007347538574577516,0.015429831006612785,2.6968295904887714,Texas
